id,type,title,question,category_path,source_url,decision_kind,decision_year,decision_no,content_hash
diyk_faq_0193c42d-6536-7ca8-7572-f5199ce0346d_790f34adc2,faq,Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,https://kurul.diyanet.gov.tr/soru/zekat-kimlere-farzdir-gecerli-olmasinin-sartlari-nelerdir/0193c42d-6536-7ca8-7572-f5199ce0346d,,,,sha256:e20234541eee8317acfab7e1cab77d8863ad9beb04c6a6b9538e02ad6b34bf47
diyk_faq_0193c42d-654c-7cba-774c-ff352b73a3bf_df78a02b55,faq,Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,https://kurul.diyanet.gov.tr/soru/havaic-i-asliyye-temel-ihtiyaclar-nelerdir/0193c42d-654c-7cba-774c-ff352b73a3bf,,,,sha256:6dc71f18e6a1a15fb49897c522f83d7b4c06acf0c7d98626d1a06c7c1cc9e6cb
diyk_faq_0193c42d-65f7-72b4-634c-35750c38a3a9_76c8c9ed7b,faq,Ticaret malının zekâtı nasıl hesaplanır?,Ticaret malının zekâtı nasıl hesaplanır?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Ticaret malının zekâtı nasıl hesaplanır?,https://kurul.diyanet.gov.tr/soru/ticaret-malinin-zekati-nasil-hesaplanir/0193c42d-65f7-72b4-634c-35750c38a3a9,,,,sha256:3afa7c2466f99df85712640c7ff8a7c397b955ae1a56e4f0daacbbf0045da889
diyk_faq_0193c42d-666b-7dcd-1522-591d813db3d2_1140c12805,faq,"Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?","Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?","ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?",https://kurul.diyanet.gov.tr/soru/kadinlarin-ziynet-esyasindan-zekat-vermeleri-gerekir-mi/0193c42d-666b-7dcd-1522-591d813db3d2,,,,sha256:7ab9fef2dc95ea66a803dee64dfe1ef6046ab258ce3f7ae23f1a74aac237b282
diyk_faq_0193c42d-66d0-7c29-f99b-43d3af9b5ffe_db83cf8859,faq,Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,https://kurul.diyanet.gov.tr/soru/hissepay-senetlerinin-zekati-nasil-hesap-edilir/0193c42d-66d0-7c29-f99b-43d3af9b5ffe,,,,sha256:26914aa8c132db9e41909b196817396e5db77c3240649b0afcc35a70707f2913
diyk_faq_0193c42d-67e5-7760-d269-8ccb0d6e642f_a2b0726931,faq,Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,https://kurul.diyanet.gov.tr/soru/gayrimesru-yolla-saglanan-kazanctan-zekat-vermek-gerekir-mi/0193c42d-67e5-7760-d269-8ccb0d6e642f,,,,sha256:d2305b6b3eb36102c11bedc26c4d7f8437b24418c01f80062f47ce091cc0b30b
diyk_faq_0193c42d-69be-7bb3-363d-e9a6821c95da_bc59e20018,faq,Sivil toplum kuruluşlarına zekât verilebilir mi?,Sivil toplum kuruluşlarına zekât verilebilir mi?,ZEKAT ve SADAKA > Zekâtın Verileceği Yerler > Sivil toplum kuruluşlarına zekât verilebilir mi?,https://kurul.diyanet.gov.tr/soru/sivil-toplum-kuruluslarina-zekat-verilebilir-mi/0193c42d-69be-7bb3-363d-e9a6821c95da,,,,sha256:f05823eb59f49a709d22c508d88e6c30ca4cba202ba2da9856fd59da12bd0ed1
diyk_faq_0193c42d-6a55-73aa-b2c0-761c0496b8b7_f60a5e0fb0,faq,"Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?","Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?","ZEKAT ve SADAKA > Zekâtın Verileceği Yerler > Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?",https://kurul.diyanet.gov.tr/soru/fakir-kiracidan-alinacak-kira-bedeli-alinmayarak-zekata-sayilabilir-mi/0193c42d-6a55-73aa-b2c0-761c0496b8b7,,,,sha256:abda2aa7f19f082321882e42b127c5ae37626779eb31da7d83388f5bfad954d0
diyk_faq_0193c42d-6af1-76fd-2e54-950130801e4e_f7b75e06dc,faq,Kimler fıtır sadakası vermekle yükümlüdür?,Kimler fıtır sadakası vermekle yükümlüdür?,ZEKAT ve SADAKA > Sadaka-i Fıtır (Fitre) > Kimler fıtır sadakası vermekle yükümlüdür?,https://kurul.diyanet.gov.tr/soru/kimler-fitir-sadakasi-vermekle-yukumludur/0193c42d-6af1-76fd-2e54-950130801e4e,,,,sha256:55aec4725a49299cccf5b4dc1540515291de21a2496b9c84ec6633a67a9f59b2
diyk_faq_0193c42d-a137-7175-0c7a-1be3667bf32c_ab12829826,faq,Müslüman'ın afetlere bakışı nasıl olmalıdır?,Müslüman'ın afetlere bakışı nasıl olmalıdır?,İSLAM İNANCI > Kaza ve Kadere İman > Müslüman'ın afetlere bakışı nasıl olmalıdır?,https://kurul.diyanet.gov.tr/soru/muslumanin-afetlere-bakisi-nasil-olmalidir/0193c42d-a137-7175-0c7a-1be3667bf32c,,,,sha256:1416f5d72611ea547e37eb8b9ef9a4b991c76c78bdfa87b75eb6f37957dd281c
diyk_faq_7d745cf4-9872-4f89-089e-08dd1c135351_662f19df7e,faq,Mevlid-i Şerif okumanın dinî hükmü nedir?,Mevlid-i Şerif okumanın dinî hükmü nedir?,"İBADET, DUA ve TÖVBE > Bayramlar, Dini Gün ve Geceler > Mevlid-i Şerif okumanın dinî hükmü nedir?",https://kurul.diyanet.gov.tr/soru/mevlid-i-serif-okumanin-dini-hukmu-nedir/7d745cf4-9872-4f89-089e-08dd1c135351,,,,sha256:29728ef39f33bbb6b6dd3b672af1cbfcfd8d9978689576aed921172a376fd9e7
diyk_faq_c0934e7f-3c22-4830-08d2-08dd1c135351_b00b420a3e,faq,Ehl-i Sünnet ve'l Cemaat hakkında bilgi verir misiniz?,Ehl-i Sünnet ve'l Cemaat hakkında bilgi verir misiniz?,MEZHEPLER VE DİNİ OLUŞUMLAR > Ehl-i Sünnet ve'l Cemaat hakkında bilgi verir misiniz?,https://kurul.diyanet.gov.tr/soru/ehl-i-sunnet-vel-cemaat-hakkinda-bilgi-verir-misiniz/c0934e7f-3c22-4830-08d2-08dd1c135351,,,,sha256:ad4a5b2a1c35280efc76282811d359c21258a89f59da6b5d0607056e72e99f5d
diyk_karar_38749,karar,Kitle İletişim Araçları Vasıtasıyla Evde Cuma Namazı Kılınması,,Karar > Kitle İletişim Araçları Vasıtasıyla Evde Cuma Namazı Kılınması,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38749/kitle-iletisim-araclari-vasitasiyla-evde-cuma-namazi-kilinmasi,karar,2020,10,sha256:bb8c8b1024e34a2c5b94e57508a9ed92c3822e9c4fdcd46baafe0cfbf8f68ba6
diyk_karar_38771,karar,Salgın ve Elverişsiz Hava Şartlarında Bir Camide Birden Fazla Cuma Namazı Kılınması,,Karar > Salgın ve Elverişsiz Hava Şartlarında Bir Camide Birden Fazla Cuma Namazı Kılınması,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38771/salgin-ve-elverissiz-hava-sartlarinda-bir-camide-birden-fazla-cuma-namazi-kilinmasi,karar,2020,30,sha256:1e6b58c8656a1c120c66e43c2fb718b7b2f28ac6ad5aa7798217e2a2916b63c5
diyk_karar_38773,karar,"Piyango, Toto, Loto, İddia vb. Şans Oyunları Oynamanın Dini Hükmü",,"Karar > Piyango, Toto, Loto, İddia vb. Şans Oyunları Oynamanın Dini Hükmü",https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38773/piyango-toto-loto-iddia-vb-sans-oyunlari-oynamanin-dini-hukmu,karar,2020,33,sha256:5faf370cef263e3a0a9ceab9010bf5497e8ebc5c3ff6f9aeb00d875bf348b1f4
diyk_karar_38804,karar,Meal Okumak Hatim Yerine Geçer mi?,,Karar > Meal Okumak Hatim Yerine Geçer mi?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38804/meal-okumak-hatim-yerine-gecer-mi,karar,2021,2,sha256:cc3f4f7633e7156a03999a269b86c8ada95c4b5291b8dded16a61de69ab6d661
diyk_karar_38807,karar,Secde Ayetlerinin Mealini Okuyan Kişinin Tilavet Secdesi Yapması Gerekir mi?,,Karar > Secde Ayetlerinin Mealini Okuyan Kişinin Tilavet Secdesi Yapması Gerekir mi?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38807/secde-ayetlerinin-mealini-okuyan-kisinin-tilavet-secdesi-yapmasi-gerekir-mi,karar,2021,3,sha256:2e49bd678ea566dfd551c108728b9abfce7556bd73c57db09f20c32658258b4d
diyk_karar_38861,karar,Toplum Sağlığını Tehdit Eden Salgın Hastalıklara Karşı Aşı Yaptırmamak Kul ve Kamu Hakkı İhlali Olarak Değerlendirilebilir mi?,,Karar > Toplum Sağlığını Tehdit Eden Salgın Hastalıklara Karşı Aşı Yaptırmamak Kul ve Kamu Hakkı İhlali Olarak Değerlendirilebilir mi?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/38861/toplum-sagligini-tehdit-eden-salgin-hastaliklara-karsi-asi-yaptirmamak-kul-ve-kamu-hakki-ihlali-olarak-degerlendirilebilir-mi,karar,2021,9,sha256:5ddd6cd724354cbf994a62a4a0358d61e60578add59ba7a5e9dec4ad8f6fd0a5
diyk_karar_39694,karar,Kurbanlık Hayvanın Satış Usûlleri ve Kilogram Birim Fiyatı Üzerinden Kurban Alım-Satımı,,Karar > Kurbanlık Hayvanın Satış Usûlleri ve Kilogram Birim Fiyatı Üzerinden Kurban Alım-Satımı,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39694/kurbanlik-hayvanin-satis-usulleri-ve-kilogram-birim-fiyati-uzerinden-kurban-alim-satimi,karar,2021,19,sha256:d3a2467da898242c63a66a18a5fbaf9c59e7e13544c0ad465c5fb7e232e13595
diyk_karar_39696,karar,Reenkarnasyon İnancının İslam'da Yeri Var mıdır?,,Karar > Reenkarnasyon İnancının İslam'da Yeri Var mıdır?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39696/reenkarnasyon-inancinin-islamda-yeri-var-midir,karar,2021,21,sha256:9c5014f58e55afe15e0ad025d9b763c62f96f13336fafe8a30b0a51ed11d1073
diyk_karar_39707,karar,Satır Arası/Satır Altı Yöntemle Kur'ân-ı Kerîm Meâli Yazımı ve Basımı Caiz mi?,,Karar > Satır Arası/Satır Altı Yöntemle Kur'ân-ı Kerîm Meâli Yazımı ve Basımı Caiz mi?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39707/satir-arasisatir-alti-yontemle-kuran-i-kerim-meali-yazimi-ve-basimi-caiz-mi,karar,2021,25,sha256:a7e9be86eea06181954d5901dd938efc04155112248d7b6750c64972c9334f46
diyk_karar_39742,karar,"Fitre, Yemin Kefareti ve Oruç Fidyesinin Askıda Ekmek Uygulaması Yoluyla Verilmesi Caiz Midir?",,"Karar > Fitre, Yemin Kefareti ve Oruç Fidyesinin Askıda Ekmek Uygulaması Yoluyla Verilmesi Caiz Midir?",https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39742/fitre-yemin-kefareti-ve-oruc-fidyesinin-askida-ekmek-uygulamasi-yoluyla-verilmesi-caiz-midir,karar,2021,30,sha256:ce5b86de224cd781c960875da8a6b53119b242c9c1ae32b27bfd0956d21521f5
diyk_karar_39939,karar,Borç İlişkilerinde Takas (Mahsuplaşma) Caiz Midir?,,Karar > Borç İlişkilerinde Takas (Mahsuplaşma) Caiz Midir?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39939/borc-iliskilerinde-takas-mahsuplasma-caiz-midir,karar,2022,23,sha256:e1961e191936a1e87432fe24ce025ecb7713c877eff2e6823290d0364973c83c
diyk_karar_39940,karar,Sosyal Medya Platformlarından Kazanç Elde Etmek Caiz Midir?,,Karar > Sosyal Medya Platformlarından Kazanç Elde Etmek Caiz Midir?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39940/sosyal-medya-platformlarindan-kazanc-elde-etmek-caiz-midir,karar,2022,24,sha256:aa0271afadd4fce994d920be84a6db9b214d618268d0c007875a9ff9822700e2
diyk_karar_39946,karar,Zekât Malının Hayır Kuruluşlarınca Nemalandırılması,,Karar > Zekât Malının Hayır Kuruluşlarınca Nemalandırılması,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39946/zekat-malinin-hayir-kuruluslarinca-nemalandirilmasi,karar,2022,30,sha256:55bee18529436530932234b50fa500ed56eb2a6fb3787aa5d1cf9efeb3a4d7c8
diyk_karar_39968,karar,Paraların ve Ticaret Mallarının Nisabında Ölçü Alınacak Altının Ayarı,,Karar > Paraların ve Ticaret Mallarının Nisabında Ölçü Alınacak Altının Ayarı,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39968/paralarin-ve-ticaret-mallarinin-nisabinda-olcu-alinacak-altinin-ayari,karar,2022,50,sha256:aac125faf06111b0a1fca275cf7f88047abcf9ccbd2bf90484b66ad01814fcb7
diyk_karar_39970,karar,Gümüşün Zekât Nisabı,,Karar > Gümüşün Zekât Nisabı,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39970/gumusun-zekat-nisabi,karar,2022,52,sha256:5d197b069f3b96053ae8eb5e5853e3123915f2a3e9e2736ad0d89d81a836fed2
diyk_karar_39980,karar,Ticarette Kâr Haddi Var Mıdır?,,Karar > Ticarette Kâr Haddi Var Mıdır?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/39980/ticarette-kar-haddi-var-midir,karar,2022,61,sha256:29e2deae9504d1a26b79de8b39057017fc7ddc092bb63170e1634953dc95dc69
diyk_karar_40108,karar,Gazze'de yaşanan zulüm ve katliam hakkında insanî ve İslâmî sorumluluk,,Karar > Gazze'de yaşanan zulüm ve katliam hakkında insanî ve İslâmî sorumluluk,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/40108/gazzede-yasanan-zulum-ve-katliam-hakkinda-insani-ve-islami-sorumluluk,karar,2023,92,sha256:6a45a04ba74bb6be8c723167d0c0fb9a9c52f30c8f43a92b7a9b1d9609bdecb5
diyk_karar_40185,karar,Dijital oyunlar oynamanın dinî hükmü nedir?,,Karar > Dijital oyunlar oynamanın dinî hükmü nedir?,https://kurul.diyanet.gov.tr/Karar-Mutalaa-Cevap/40185/dijital-oyunlar-oynamanin-dini-hukmu-nedir,karar,2024,122,sha256:4617bfa8e727d6a09c4af8321240999ce319ec8d297fa1105bf7ff2886a7efcd
